evidence_id,source_id,run_id,target_table,target_record_id,target_fields,evidence_type,value_status,source_section,source_locator,source_object_ref,evidence_text,evidence_summary,confidence,linked_issue_id,notes
EVID_P001_0011,P001_Dubey_2012_FeMo_MgO_tMWCNT,PAPER_2012_DUBEY_SG2,reactor_process_gas,SG2_S04_COOLING,record_level,record_support,reported,Sections 2.1-3.3; Table 1; Figs. 6-9,"PDF p. 2, Section 2.2",Section 2.2,The reactor was cooled to room temperature under Ar at 500 sccm.,cooling; Ar only,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P001_0012,P001_Dubey_2012_FeMo_MgO_tMWCNT,PAPER_2012_DUBEY_SG3,reactor_process_gas,SG3_S01_HEATING,record_level,record_support,reported,Sections 2.1-3.3; Table 1; Figs. 6-9,"PDF p. 2, Section 2.2",Section 2.2,Catalyst was heated to 900 °C under Ar at 1000 sccm.,heating; 900; Ar only; Heating rate and time were not reported.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P001_0013,P001_Dubey_2012_FeMo_MgO_tMWCNT,PAPER_2012_DUBEY_SG3,reactor_process_gas,SG3_S02_PRETREAT,record_level,record_support,reported,Sections 2.1-3.3; Table 1; Figs. 6-9,"PDF p. 2, Section 2.2",Section 2.2,At 900 °C the catalyst was pretreated for 20 min in Ar/H2 at 800/200 sccm.,pretreatment; 900; Ar:H2 = 800:200 sccm (4:1); The authors describe this step as catalyst pretreatment.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P001_0014,P001_Dubey_2012_FeMo_MgO_tMWCNT,PAPER_2012_DUBEY_SG3,reactor_process_gas,SG3_S03_GROWTH,record_level,record_support,calculated,Sections 2.1-3.3; Table 1; Figs. 6-9,"PDF p. 2, Section 2.2",Section 2.2,CNT growth used Ar/CH4/H2 at 1000/1000/200 sccm and 900 °C for 30 min.,"growth; 900; Ar:CH4:H2 = 1000:1000:200 sccm (5:5:1); [calculated] CH4_volume_fraction_percent = 1000/2200 × 100 = 45.45%; all gas flows are reported values. Only one growth temperature was reported, so no temperature effect was assigned.",high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P001_0015,P001_Dubey_2012_FeMo_MgO_tMWCNT,PAPER_2012_DUBEY_SG3,reactor_process_gas,SG3_S04_COOLING,record_level,record_support,reported,Sections 2.1-3.3; Table 1; Figs. 6-9,"PDF p. 2, Section 2.2",Section 2.2,The reactor was cooled to room temperature under Ar at 500 sccm.,cooling; Ar only,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P001_0016,P001_Dubey_2012_FeMo_MgO_tMWCNT,PAPER_2012_DUBEY_SG1,yield_quality,PROD_DUBEY_SG1,record_level,record_support,calculated,Sections 2.1-3.3; Table 1; Figs. 6-9,"PDF pp. 4, 6-8; Table 1; Figs. 6-9",Table 1; Figs.,"Table 1 reports 73% weight-gain yield and 43% TGA carbon; microscopy confirms a mixed, non-uniform product.","73% carbon weight gain; mixed t-MWCNT/MWCNT/carbon fiber; non-uniform mixture of thick CNTs, carbon fibers and some t-MWCNTs",high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P001_0017,P001_Dubey_2012_FeMo_MgO_tMWCNT,PAPER_2012_DUBEY_SG2,yield_quality,PROD_DUBEY_SG2,record_level,record_support,calculated,Sections 2.1-3.3; Table 1; Figs. 6-9,"PDF pp. 4, 6-8; Table 1; Figs. 6-9",Table 1; Figs.,Table 1 reports 452% weight-gain yield and 85% TGA carbon; HRTEM gives 4-8 nm diameter and 4-7 walls.,"452% carbon weight gain; t-MWCNT; uniform, entangled t-MWCNTs; isolated tubes and bundles; clean surfaces",high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P001_0018,P001_Dubey_2012_FeMo_MgO_tMWCNT,PAPER_2012_DUBEY_SG3,yield_quality,PROD_DUBEY_SG3,record_level,record_support,calculated,Sections 2.1-3.3; Table 1; Figs. 6-9,"PDF pp. 4, 6-8; Table 1; Figs. 6-9",Table 1; Figs.,Table 1 reports 370% weight-gain yield and 82% TGA carbon; HRTEM gives 4-9 nm diameter and 5-8 walls.,"370% carbon weight gain; t-MWCNT; uniform, entangled t-MWCNTs with clean surfaces",high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P001_0019,P001_Dubey_2012_FeMo_MgO_tMWCNT,PAPER_2012_DUBEY_SG1,cost_scale_review,PAPER_2012_DUBEY_SG1,record_level,record_support,reported,Sections 2.1-3.3; Table 1; Figs. 6-9,"PDF pp. 2, 8; Sections 2.2 and 3.3",Sections,"The reported catalyst is Fe-Mo/MgO, so Mo presence is a reported material fact; the run uses 0.1 g catalyst in a ~100 mm i.d. reactor with CH4/H2 at 900 °C, while cost impact and continuous operation are not quantified.","Authors describe a large-scale reactor (~100 mm i.d.); actual run used 0.1 g catalyst.; author_claimed_large_scale; actual_0.1g_lab_batch; First-round LLM extraction: no industrial score, reproduction ranking or recommendation assigned; pending human review.",medium,not_applicable,migrated_from_v0.3_row_evidence
EVID_P001_0020,P001_Dubey_2012_FeMo_MgO_tMWCNT,PAPER_2012_DUBEY_SG2,cost_scale_review,PAPER_2012_DUBEY_SG2,record_level,record_support,reported,Sections 2.1-3.3; Table 1; Figs. 6-9,"PDF pp. 2, 8; Sections 2.2 and 3.3",Sections,"The reported catalyst is Fe-Mo/MgO, so Mo presence is a reported material fact; the run uses 0.1 g catalyst in a ~100 mm i.d. reactor with CH4/H2 at 900 °C, while cost impact and continuous operation are not quantified.","Authors describe large-scale synthesis and a ~100 mm i.d. reactor; actual run used 0.1 g catalyst.; author_claimed_large_scale; actual_0.1g_lab_batch; First-round LLM extraction: no industrial score, reproduction ranking or recommendation assigned; pending human review.",medium,not_applicable,migrated_from_v0.3_row_evidence
EVID_P001_0021,P001_Dubey_2012_FeMo_MgO_tMWCNT,PAPER_2012_DUBEY_SG3,cost_scale_review,PAPER_2012_DUBEY_SG3,record_level,record_support,reported,Sections 2.1-3.3; Table 1; Figs. 6-9,"PDF pp. 2, 8; Sections 2.1, 2.2 and 3.3",Sections,"The reported catalyst is Fe-Mo/MgO, so Mo presence is a reported material fact; SG-3 preparation uses H2 at 700 °C and CNT growth uses CH4/H2 at 900 °C, while cost impact and continuous operation are not quantified.","Authors describe a large-scale reactor (~100 mm i.d.); actual run used 0.1 g catalyst.; author_claimed_large_scale; actual_0.1g_lab_batch; First-round LLM extraction: no industrial score, reproduction ranking or recommendation assigned; pending human review.",medium,not_applicable,migrated_from_v0.3_row_evidence
EVID_P001_0022,P001_Dubey_2012_FeMo_MgO_tMWCNT,not_applicable,source_master,P001_Dubey_2012_FeMo_MgO_tMWCNT,notes,source_observation,reported,not_separately_reported,"PDF p. 2, Section 2.2",Section 2.2,reaction temperature (900°C),仅报告 900 °C 生长条件，不能据此建立温度窗口或作者最优温度。,high,ISS_P001_001,tags=temperature_window;growth_temperature;single_temperature; 避免把单一生长温度误解为适用温区或最优条件。; legacy_observation_id=OBS_DUBEY_2012_011
EVID_P001_0023,P001_Dubey_2012_FeMo_MgO_tMWCNT,not_applicable,source_master,P001_Dubey_2012_FeMo_MgO_tMWCNT,notes,source_observation,reported,not_separately_reported,"PDF p. 4, Table 1; PDF p. 8, Fig. 8 discussion",Table 1; Fig. 8,Carbon % yield @TGA,Table 1 的 purity/carbon yield 来自 TGA 碳含量，不等同于应用级纯化产品纯度。,high,ISS_P001_002,tags=TGA_carbon;purity_definition;as_synthesized_product; 防止把不同定义的纯度或碳含量指标直接比较。; legacy_observation_id=OBS_DUBEY_2012_012
EVID_P001_0024,P001_Dubey_2012_FeMo_MgO_tMWCNT,not_applicable,source_master,P001_Dubey_2012_FeMo_MgO_tMWCNT,notes,source_observation,inferred,not_separately_reported,"PDF pp. 6-8, Section 3.3 and characterization discussion",Section 3.3,not_excerpted,CNT 长度和残留金属未单独定量。,high,ISS_P001_003,tags=CNT_length;residual_metal;missing_characterization; 这两项缺口会限制形貌比较、纯化负担判断和下游适用性评估。; legacy_observation_id=OBS_DUBEY_2012_013
EVID_P001_0025,P001_Dubey_2012_FeMo_MgO_tMWCNT,not_applicable,source_master,P001_Dubey_2012_FeMo_MgO_tMWCNT,notes,source_observation,inferred,not_separately_reported,"PDF p. 2, Section 2.2; PDF pp. 8-9, discussion and conclusions",Section 2.2,not_excerpted,压力、甲烷转化率、碳效率、催化剂寿命和连续运行时间未报告。,high,ISS_P001_004,tags=pressure;CH4_conversion;carbon_efficiency;catalyst_lifetime;continuous_operation; 这些缺失项直接限制物料效率、催化剂稳定性和连续化可行性判断。; legacy_observation_id=OBS_DUBEY_2012_014
EVID_P001_0026,P001_Dubey_2012_FeMo_MgO_tMWCNT,not_applicable,source_master,P001_Dubey_2012_FeMo_MgO_tMWCNT,notes,source_observation,reported,not_separately_reported,"PDF p. 2, Section 2.2; PDF p. 8, Section 3.3",Section 2.2; Section 3.3,large-scale reactor (reactor i.d. ~100 mm),作者使用 large-scale 表述，但实际实验催化剂装填量为 0.1 g，不能据此确认工业规模。,high,not_applicable,tags=author_scale_claim;actual_loading;reactor_diameter;scale_caveat; 保留作者放大表述，同时防止大直径实验管被误判为工业产能证据。; legacy_observation_id=OBS_DUBEY_2012_015
EVID_P001_0027,P001_Dubey_2012_FeMo_MgO_tMWCNT,not_applicable,source_master,P001_Dubey_2012_FeMo_MgO_tMWCNT,notes,source_observation,reported,not_separately_reported,"PDF p. 2, Sections 2.1-2.2",Sections,reaction temperature (900°C),"The comparison changes catalyst precursor decomposition atmosphere, not CNT growth temperature. Only 900 °C growth was reported, so no growth-temperature window or temperature effect can be assigned.",high,ISS_P001_005,tags=temperature_window;growth_temperature; Prevents the three catalyst-preparation conditions from being misread as a CNT growth-temperature study.; legacy_observation_id=OBS_DUBEY_2012_001
EVID_P001_0028,P001_Dubey_2012_FeMo_MgO_tMWCNT,not_applicable,source_master,P001_Dubey_2012_FeMo_MgO_tMWCNT,notes,source_observation,reported,not_separately_reported,PDF pp. 4-5 and 8; Table 1; Figs. 2-4; Conclusions,Table 1; Figs.,The size of the dark spots was measured and found to be in the range of 3-6 nm,Ar and H2 decomposition produced better-dispersed 3-6 nm Fe-Mo clusters than air decomposition; the paper links this preparation difference with higher yield and more homogeneous t-MWCNT products.,high,not_applicable,tags=thermal_decomposition_atmosphere;Fe-Mo_dispersion;particle_size; Provides a directly testable catalyst-preparation variable without adding a new main-table field.; legacy_observation_id=OBS_DUBEY_2012_002
EVID_P001_0029,P001_Dubey_2012_FeMo_MgO_tMWCNT,PAPER_2012_DUBEY_SG1,catalyst_system,CAT_DUBEY_SG1,record_level,source_observation,reported,not_separately_reported,PDF pp. 4-8; Table 1; Figs. 1-3 and 6-9,Table 1; Figs.,non-uniform distribution of catalyst particles,"Air-decomposed SG-1 showed phase separation, particle agglomeration, low BET area, 73% weight-gain yield, 43% TGA carbon, and a mixed t-MWCNT/MWCNT/carbon-fiber product.",high,not_applicable,tags=air_decomposition;phase_separation;agglomeration;mixed_product; Preserves a negative comparison that can guide catalyst-preparation screening.; legacy_observation_id=OBS_DUBEY_2012_003
EVID_P001_0030,P001_Dubey_2012_FeMo_MgO_tMWCNT,not_applicable,source_master,P001_Dubey_2012_FeMo_MgO_tMWCNT,notes,source_observation,reported,not_separately_reported,"PDF pp. 5, 7-8; Sections 3.2-3.3; Conclusions",Sections,Mo provides a shielding effect for the Fe nanoparticles,The authors propose that high Mo content shields Fe nanoparticles against agglomeration and promotes methane aromatization; the paper does not provide a lower-Mo run series that isolates the effect.,medium,not_applicable,tags=Mo_shielding;Fe_agglomeration;methane_aromatization; Captures the proposed role of Mo while clearly retaining its hypothesis status.; legacy_observation_id=OBS_DUBEY_2012_004
EVID_P001_0031,P001_Dubey_2012_FeMo_MgO_tMWCNT,not_applicable,source_master,P001_Dubey_2012_FeMo_MgO_tMWCNT,notes,source_observation,reported,not_separately_reported,PDF pp. 2 and 8; Introduction; Sections 2.2 and 3.3,Sections,suitable for scale-up to the kilogram level,"The source describes sol-gel preparation as suitable for kilogram-level scale-up and uses large-scale wording for a reactor of about 100 mm inner diameter, while each reported CNT run loads only 0.1 g catalyst.",medium,not_applicable,tags=sol-gel;kilogram_scale_claim;reactor_scale;throughput_gap; Retains the scale-up claim together with the experimental-load caveat for later industrial review.; legacy_observation_id=OBS_DUBEY_2012_005
EVID_P001_0032,P001_Dubey_2012_FeMo_MgO_tMWCNT,not_applicable,source_master,P001_Dubey_2012_FeMo_MgO_tMWCNT,notes,source_observation,reported,not_separately_reported,"PDF p. 2, Sections 2.1-2.2",Sections,Ar/CH4/H2 (1000/1000/200 sccm),The process uses CH4/H2 at 900 °C; SG-3 catalyst preparation additionally uses H2 at 700 °C. The paper gives the gas program but no process-safety assessment.,medium,not_applicable,tags=CH4;H2;high_temperature;safety_gap; Flags high-temperature flammable-gas handling for later scale-up review without assigning an unsupported risk score.; legacy_observation_id=OBS_DUBEY_2012_006
EVID_P001_0033,P001_Dubey_2012_FeMo_MgO_tMWCNT,not_applicable,source_master,P001_Dubey_2012_FeMo_MgO_tMWCNT,notes,source_observation,reported,not_separately_reported,PDF pp. 4 and 8; Table 1; Fig. 8,Table 1; Fig. 8,Carbon % yield @TGA,"The reported 43%, 85% and 82% values are TGA carbon contents of as-synthesized products, not purified application-grade CNT purity or separately measured residual-metal content.",high,ISS_P001_006,tags=TGA_carbon;purity_definition;residual_metal; Prevents incompatible purity metrics from being compared as equivalent values.; legacy_observation_id=OBS_DUBEY_2012_007
EVID_P001_0034,P001_Dubey_2012_FeMo_MgO_tMWCNT,not_applicable,source_master,P001_Dubey_2012_FeMo_MgO_tMWCNT,notes,source_observation,reported,not_separately_reported,PDF pp. 7-8; Section 3.3; Conclusions,Section 3.3,the higher Mo content for the Fe-Mo/MgO catalyst induced a higher product yield,"The authors associate the high-Mo Fe:Mo ratio of 1:1.5 with increased carbon yield and more uniform t-MWCNTs, but this paper does not present a controlled lower-Mo composition series.",medium,not_applicable,tags=high_Mo;yield;t-MWCNT_uniformity;composition_series_gap; Preserves a catalyst-composition hypothesis suitable for future controlled experiments.; legacy_observation_id=OBS_DUBEY_2012_010
EVID_P001_0035,P001_Dubey_2012_FeMo_MgO_tMWCNT,not_applicable,source_master,P001_Dubey_2012_FeMo_MgO_tMWCNT,notes,source_observation,reported,not_separately_reported,"PDF p. 5, Fig. 3 discussion",Fig. 3,at% Fe:Mo ~ 3.1:10.5,TEM-EDS spot atomic ratios differ from the nominal bulk Fe:Mo ratio; they are localized particle measurements and were not promoted to bulk composition fields.,high,not_applicable,tags=TEM-EDS;localized_composition;bulk_composition_caveat; Retains potentially useful particle-level chemistry without mislabeling it as bulk catalyst composition.; legacy_observation_id=OBS_DUBEY_2012_008
EVID_P001_0036,P001_Dubey_2012_FeMo_MgO_tMWCNT,not_applicable,source_master,P001_Dubey_2012_FeMo_MgO_tMWCNT,notes,source_observation,reported,not_separately_reported,"PDF pp. 5-6, Figs. 4-5",Figs.,Mo has a strong interaction with Fe,"XPS binding-energy shifts and Mo oxidation-state assignments provide mechanistic context for atmosphere-dependent Fe-Mo interaction, but are not expanded into new v0.1 main-table fields.",high,not_applicable,tags=XPS;Mo_oxidation_state;Fe-Mo_interaction; Preserves mechanistic characterization for later cross-source comparison while keeping the main schema stable.; legacy_observation_id=OBS_DUBEY_2012_009
