source_id,input_fulltext_id,input_content_hash,parser_version,parse_status,failure_reason,parse_quality,page_count,extracted_char_count,table_count,reference_section_detected,experimental_section_detected,ocr_required,fulltext_relevance_status,candidate_extract_eligible,promotion_reason,section_count,span_count,warnings_json,raw_text_path,parsed_text_path,created_at,updated_at
LIT_0E4C2827EA357D8F,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:28:14Z,2026-07-16T04:30:33Z
LIT_0EB6EB3A3ECD7CF1,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:42:58Z,2026-07-16T04:42:58Z
LIT_0EF1DDE74B15E559,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:07:39Z,2026-07-16T04:07:39Z
LIT_11B9044BBBEDF0FD,FT_669387315AA61C87B1C5,03cd71dd07df321b443389db578e4cbf78cc89712621407c71444502bb00e754,cnt_section_rules_v7,success,,partial,0,31925,8,0,1,0,candidate_extract,1,fulltext_cnt_identity+experimental_section+multi_type_experimental_evidence,53,112,[],data/raw/fulltext/text/LIT_11B9044BBBEDF0FD.txt,data/interim/parsed_text/LIT_11B9044BBBEDF0FD.txt,2026-07-16T04:36:53Z,2026-07-16T04:36:53Z
LIT_11E2BBB5F0B2D893,FT_B583D6A5AAC75C2B2945,921dff6692b300e4b998d02c8299e0e1295873800aef7bf356cf8456af084e93,cnt_section_rules_v7,success,,good,11,35886,1,1,1,0,candidate_extract,1,fulltext_cnt_identity+experimental_section+multi_type_experimental_evidence,21,97,[],data/raw/fulltext/text/LIT_11E2BBB5F0B2D893.txt,data/interim/parsed_text/LIT_11E2BBB5F0B2D893.txt,2026-07-16T04:31:10Z,2026-07-16T04:31:10Z
LIT_1393A68CF2AF9C25,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:05:51Z,2026-07-16T04:05:51Z
LIT_1547E85803913A0C,FT_C6090066465212C6E79B,97bbad8dc760acc27f13635ffc5ad1506a4032a1753db99416b345085279a159,cnt_section_rules_v7,success,,good,6,21521,0,1,0,0,insufficient_experimental_evidence,0,requires_cnt_identity_experimental_section_and_at_least_two_evidence_types,15,35,"[""page_5_two_column_reading_order"", ""page_6_two_column_reading_order""]",data/raw/fulltext/text/LIT_1547E85803913A0C.txt,data/interim/parsed_text/LIT_1547E85803913A0C.txt,2026-07-16T04:39:30Z,2026-07-16T04:39:30Z
LIT_15F49C3012600D0B,FT_BBAB2392E21C663BBFF4,5b0ce491fa4f8f7243b7e3607ee9992d4ec02abc0044f485611e4d79b6b69a72,cnt_section_rules_v7,success,,good,21,57623,0,1,1,0,candidate_extract,1,fulltext_cnt_identity+experimental_section+multi_type_experimental_evidence,25,188,"[""page_4_two_column_reading_order"", ""page_7_two_column_reading_order"", ""page_8_two_column_reading_order"", ""page_14_two_column_reading_order"", ""page_15_two_column_reading_order"", ""page_20_two_column_reading_order"", ""page_21_two_column_reading_order""]",data/raw/fulltext/text/LIT_15F49C3012600D0B.txt,data/interim/parsed_text/LIT_15F49C3012600D0B.txt,2026-07-16T04:39:23Z,2026-07-16T04:39:23Z
LIT_169EACB657CC8523,FT_54E43CB3EE5439C7B10F,b8b0f725610b0b1a8490ff3f3c511b0d8e66ee9969d3d4d64f367c4d7271ff28,cnt_section_rules_v7,success,,good,12,34791,3,1,1,0,candidate_extract,1,fulltext_cnt_identity+experimental_section+multi_type_experimental_evidence,31,101,"[""page_6_two_column_reading_order"", ""page_11_two_column_reading_order"", ""page_12_two_column_reading_order""]",data/raw/fulltext/text/LIT_169EACB657CC8523.txt,data/interim/parsed_text/LIT_169EACB657CC8523.txt,2026-07-16T04:16:10Z,2026-07-16T04:16:10Z
LIT_17208320A4D17CAB,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:42:47Z,2026-07-16T04:42:47Z
LIT_18CC33FA0A432B62,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:32:21Z,2026-07-16T04:32:21Z
LIT_1A6943689C60163D,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:07:47Z,2026-07-16T04:07:47Z
LIT_1C23B269C38586DE,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:42:34Z,2026-07-16T04:42:34Z
LIT_1C53CDD04C7F51D9,,,cnt_section_rules_v6,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T02:14:42Z,2026-07-16T02:14:42Z
LIT_1D29A53AB15BB0B9,,,cnt_section_rules_v6,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T02:14:42Z,2026-07-16T02:14:42Z
LIT_1E16A4FAF9AEF7E4,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:44:41Z,2026-07-16T04:44:41Z
LIT_1E6FDA57E370EFB9,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:16:34Z,2026-07-16T04:16:34Z
LIT_2156B932FB0638B8,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:42:40Z,2026-07-16T04:42:40Z
LIT_22EBBAD83D250478,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:15:40Z,2026-07-16T04:15:40Z
LIT_2597C191571C2F46,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:43:49Z,2026-07-16T04:43:49Z
LIT_29053831AED49C65,FT_5C13563759168524C4BB,f1b4295539b035989aa71231d00270240093a2981bcb5699a4ba6bbe460cd18d,cnt_section_rules_v7,success,,partial,5,14165,0,0,1,0,candidate_extract,1,fulltext_cnt_identity+experimental_section+multi_type_experimental_evidence,16,50,[],data/raw/fulltext/text/LIT_29053831AED49C65.txt,data/interim/parsed_text/LIT_29053831AED49C65.txt,2026-07-16T04:45:40Z,2026-07-16T04:45:40Z
LIT_2A2F8594DBA4A040,FT_84979C28B9B3C7C42609,329974b7c6f362f4472b6904be10476ad8079dcfe347591534b3dfcac6c06f59,cnt_section_rules_v6,success,,good,16,78618,0,1,1,0,candidate_extract,1,fulltext_cnt_identity+experimental_section+multi_type_experimental_evidence,19,236,[],data/raw/fulltext/text/LIT_2A2F8594DBA4A040.txt,data/interim/parsed_text/LIT_2A2F8594DBA4A040.txt,2026-07-16T02:14:42Z,2026-07-16T02:41:15Z
LIT_2BBA5D5A33DCA23E,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:44:18Z,2026-07-16T04:44:18Z
LIT_2BD0058CE718B569,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:32:27Z,2026-07-16T04:32:27Z
LIT_2C6CFB8A985F3106,,,cnt_section_rules_v6,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T02:14:42Z,2026-07-16T02:14:42Z
LIT_2CF0B62FD0879B1A,,,cnt_section_rules_v6,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T02:14:42Z,2026-07-16T02:14:42Z
LIT_2E5E5533DDFEBB53,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:31:00Z,2026-07-16T04:31:00Z
LIT_2F272009882C0471,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:31:15Z,2026-07-16T04:31:15Z
LIT_34444E6301E5DCCB,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:39:02Z,2026-07-16T04:39:02Z
LIT_34834C05D4AE1C2B,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:41:13Z,2026-07-16T04:41:13Z
LIT_35CC6817563FC3B9,FT_1442FEB54AB552DF2812,3ca7c7722abc3cf361264d9d7ca9531088312cdacbb38279c239ae6b5d1c3387,cnt_section_rules_v7,success,,partial,0,15471,1,0,1,0,candidate_extract,1,fulltext_cnt_identity+experimental_section+multi_type_experimental_evidence,32,51,[],data/raw/fulltext/text/LIT_35CC6817563FC3B9.txt,data/interim/parsed_text/LIT_35CC6817563FC3B9.txt,2026-07-16T04:36:32Z,2026-07-16T04:36:32Z
LIT_3610F8E3686F4AB8,,,cnt_section_rules_v5,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,,0,0,[],,,2026-07-15T07:30:15Z,2026-07-15T07:35:20Z
LIT_37230FBEA6DEE09F,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:35:21Z,2026-07-16T04:35:21Z
LIT_39F3A33F8EF32BBD,,,cnt_section_rules_v6,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T02:14:42Z,2026-07-16T02:14:42Z
LIT_39FC4C9561D1FAE9,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:43:59Z,2026-07-16T04:43:59Z
LIT_3B5A2676F1FE1646,FT_0A8BC8AD5D15E67CDBEA,93a73cbd3a655e8d72b5585d6f19a4c2c3d60ebd00ba3d36e5b0c2b282856bdf,cnt_section_rules_v7,success,,good,6,20163,0,1,1,0,candidate_extract,1,fulltext_cnt_identity+experimental_section+multi_type_experimental_evidence,16,70,"[""page_5_two_column_reading_order""]",data/raw/fulltext/text/LIT_3B5A2676F1FE1646.txt,data/interim/parsed_text/LIT_3B5A2676F1FE1646.txt,2026-07-16T04:07:35Z,2026-07-16T04:07:35Z
LIT_3BDCD8F9895BE659,FT_73923609799913DB6A70,ad8a37d0aa538aeaabdecc80f59917cc2ac3ccb928b6c7d9b5d24f16e9a2cad3,cnt_section_rules_v7,success,,partial,9,28545,0,0,1,0,candidate_extract,1,fulltext_cnt_identity+experimental_section+multi_type_experimental_evidence,17,128,[],data/raw/fulltext/text/LIT_3BDCD8F9895BE659.txt,data/interim/parsed_text/LIT_3BDCD8F9895BE659.txt,2026-07-16T04:14:48Z,2026-07-16T04:14:48Z
LIT_3D2FAA624663FA97,FT_7841033F3D6B0D44E6CD,1e9b942be3244ad6e3c12d4c1a49d31ad87db274ed36e0eb598f1950c7be3cd4,cnt_section_rules_v6,success,,good,8,23821,0,1,1,0,candidate_extract,1,fulltext_cnt_identity+experimental_section+multi_type_experimental_evidence,18,95,"[""page_2_two_column_reading_order"", ""page_3_two_column_reading_order"", ""page_4_two_column_reading_order"", ""page_5_two_column_reading_order"", ""page_6_two_column_reading_order"", ""page_7_two_column_reading_order"", ""page_8_two_column_reading_order""]",data/raw/fulltext/text/LIT_3D2FAA624663FA97.txt,data/interim/parsed_text/LIT_3D2FAA624663FA97.txt,2026-07-16T02:14:42Z,2026-07-16T02:41:18Z
LIT_3D8F9EFA937173D0,FT_A3863AA0596CD1E55554,980d716919cc110c8dcdd7bba8df4469b41917949e7eaa38e20fee2b0b98ba54,cnt_section_rules_v6,success,,good,9,32451,2,1,1,0,candidate_extract,1,fulltext_cnt_identity+experimental_section+multi_type_experimental_evidence,26,133,"[""page_4_two_column_reading_order"", ""page_8_two_column_reading_order"", ""page_9_two_column_reading_order""]",data/raw/fulltext/text/LIT_3D8F9EFA937173D0.txt,data/interim/parsed_text/LIT_3D8F9EFA937173D0.txt,2026-07-16T02:14:42Z,2026-07-16T02:41:19Z
LIT_401BD476DB8344E9,FT_A6210CCF48905AC34646,c5509cc9f27cc3c9d42deedfa81f2156c960a3fe6da1e0ed71a1a1d8b247ab40,cnt_section_rules_v7,success,,good,20,64145,4,1,1,0,candidate_extract,1,fulltext_cnt_identity+experimental_section+multi_type_experimental_evidence,29,179,[],data/raw/fulltext/text/LIT_401BD476DB8344E9.txt,data/interim/parsed_text/LIT_401BD476DB8344E9.txt,2026-07-16T03:23:26Z,2026-07-16T04:03:18Z
LIT_40599004C06DDDF0,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:16:18Z,2026-07-16T04:16:18Z
LIT_41A99C6A3F3A6ABA,FT_B4D0CD3D7F1CA7E4A52C,9426d0686a4b94e847bc0db9dc5b9fcd36a6eb58cfc893d40062408b296cb529,cnt_section_rules_v7,success,,partial,0,23131,1,0,0,0,insufficient_experimental_evidence,0,requires_cnt_identity_experimental_section_and_at_least_two_evidence_types,32,81,[],data/raw/fulltext/text/LIT_41A99C6A3F3A6ABA.txt,data/interim/parsed_text/LIT_41A99C6A3F3A6ABA.txt,2026-07-16T04:36:42Z,2026-07-16T04:36:42Z
LIT_41ED2ABA7F071F5E,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-15T07:30:15Z,2026-07-16T04:44:20Z
LIT_41EDFF9643A6D73F,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:39:50Z,2026-07-16T04:39:50Z
LIT_41F55B9439F51B21,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:45:01Z,2026-07-16T04:45:01Z
LIT_427378A0096D943B,FT_168F7C16BF39E3B71012,f8e072dd73430d884055f0f997d5c0a2dc2dec0fd3ddbc3f54ece169ab4c3e8c,cnt_section_rules_v7,success,,good,19,63720,0,1,1,0,candidate_extract,1,fulltext_cnt_identity+experimental_section+multi_type_experimental_evidence,19,160,[],data/raw/fulltext/text/LIT_427378A0096D943B.txt,data/interim/parsed_text/LIT_427378A0096D943B.txt,2026-07-16T04:25:52Z,2026-07-16T04:25:52Z
LIT_428524A1D247A302,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:44:46Z,2026-07-16T04:44:46Z
LIT_42CA430104DA72AA,FT_6EE52ADD8DE7DF9C3F64,66eb0daffee52f7039533c3dbd1735407e53382e48cc089db5650468c8cdeef7,cnt_section_rules_v6,success,,partial,9,31559,5,0,1,0,candidate_extract,1,fulltext_cnt_identity+experimental_section+multi_type_experimental_evidence,16,99,"[""page_2_two_column_reading_order""]",data/raw/fulltext/text/LIT_42CA430104DA72AA.txt,data/interim/parsed_text/LIT_42CA430104DA72AA.txt,2026-07-16T02:14:42Z,2026-07-16T02:41:21Z
LIT_4421747A539A3C4E,FT_5A1C4E625873698EEF8D,8ffc2f3518d145e9e36ecd5ec83cf8c66f21dd5756d01a32f520500a53dd1037,cnt_section_rules_v7,success,,good,15,45906,3,1,1,0,candidate_extract,1,fulltext_cnt_identity+experimental_section+multi_type_experimental_evidence,34,70,[],data/raw/fulltext/text/LIT_4421747A539A3C4E.txt,data/interim/parsed_text/LIT_4421747A539A3C4E.txt,2026-07-16T04:45:51Z,2026-07-16T04:45:51Z
LIT_457907E83D33368E,FT_8F59B9DB34BFBDD2C662,d657f359f1dca783dce834c6967c33c77329022154ca9c6fa12d1998e9e3b529,cnt_section_rules_v7,success,,partial,0,25439,5,0,0,0,insufficient_experimental_evidence,0,requires_cnt_identity_experimental_section_and_at_least_two_evidence_types,46,92,[],data/raw/fulltext/text/LIT_457907E83D33368E.txt,data/interim/parsed_text/LIT_457907E83D33368E.txt,2026-07-16T04:08:50Z,2026-07-16T04:08:50Z
LIT_458C915DF011F7D3,FT_55AF0DC590AFB3055F7F,aeed1a82e0d8c50208cf07b6e2b6b677f50b7c08c25ee68fb39148c9486caa71,cnt_section_rules_v7,success,,good,211,192801,0,1,1,0,candidate_extract,1,fulltext_cnt_identity+experimental_section+multi_type_experimental_evidence,211,393,"[""page_67_text_error:ValueError""]",data/raw/fulltext/text/LIT_458C915DF011F7D3.txt,data/interim/parsed_text/LIT_458C915DF011F7D3.txt,2026-07-16T04:41:57Z,2026-07-16T04:41:57Z
LIT_4677D489B1229811,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:43:43Z,2026-07-16T04:43:43Z
LIT_4823A1E3E3586FBB,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:39:47Z,2026-07-16T04:39:47Z
LIT_4A0619355DFA627D,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:40:20Z,2026-07-16T04:40:20Z
LIT_4A42E225A9840CD9,FT_EAA8645218C5EEB1B496,4ff5b448da4e9b5bf3af68194e51cae795ef1bc699114a267813125623c63b36,cnt_section_rules_v7,success,,partial,0,18050,2,0,0,0,insufficient_experimental_evidence,0,requires_cnt_identity_experimental_section_and_at_least_two_evidence_types,40,96,[],data/raw/fulltext/text/LIT_4A42E225A9840CD9.txt,data/interim/parsed_text/LIT_4A42E225A9840CD9.txt,2026-07-16T04:37:58Z,2026-07-16T04:37:58Z
LIT_4B3D3C5CD3B8D731,FT_8533AA79BCD099D2571F,0f7ac68e27d09b3b6d0d1f55ee0aa599cf3ea8bea2d8c5d3fde0e04c803f5d7b,cnt_section_rules_v6,success,,good,31,37431,0,1,1,0,candidate_extract,1,fulltext_cnt_identity+experimental_section+multi_type_experimental_evidence,23,82,"[""page_27_two_column_reading_order"", ""page_28_two_column_reading_order"", ""page_29_two_column_reading_order"", ""page_30_two_column_reading_order""]",data/raw/fulltext/text/LIT_4B3D3C5CD3B8D731.txt,data/interim/parsed_text/LIT_4B3D3C5CD3B8D731.txt,2026-07-16T02:14:42Z,2026-07-16T02:41:22Z
LIT_4BDFD588A5A5F5AA,FT_24C24411A868E7F7567C,1344c7750b6a6659f2e644c8981b33a0552ef587d3df18e50212098f52c2bf67,cnt_section_rules_v7,success,,good,115,125234,23,1,1,0,candidate_extract,1,fulltext_cnt_identity+experimental_section+multi_type_experimental_evidence,98,288,[],data/raw/fulltext/text/LIT_4BDFD588A5A5F5AA.txt,data/interim/parsed_text/LIT_4BDFD588A5A5F5AA.txt,2026-07-16T04:09:47Z,2026-07-16T04:09:47Z
LIT_4C5EB40B8CD80C4F,FT_7B0EEF6FF5EC12CF51F9,2301a19be7880e6a3c5095c673dc16d41da2070dd7253cbe76db76255708eed9,cnt_section_rules_v7,success,,good,25,64258,8,1,1,0,candidate_extract,1,fulltext_cnt_identity+experimental_section+multi_type_experimental_evidence,35,184,[],data/raw/fulltext/text/LIT_4C5EB40B8CD80C4F.txt,data/interim/parsed_text/LIT_4C5EB40B8CD80C4F.txt,2026-07-16T04:05:39Z,2026-07-16T04:05:39Z
LIT_4C9F9F626FE8A7BC,FT_626F965063A05A665268,5b720809f4c0033afe651e3f95f67d54e2549f8f5efb36f041ef80a0c8dec57e,cnt_section_rules_v6,success,,good,100,94699,10,1,1,0,candidate_extract,1,fulltext_cnt_identity+experimental_section+multi_type_experimental_evidence,155,226,[],data/raw/fulltext/text/LIT_4C9F9F626FE8A7BC.txt,data/interim/parsed_text/LIT_4C9F9F626FE8A7BC.txt,2026-07-16T02:14:42Z,2026-07-16T02:20:59Z
LIT_522D359ADEDCFF7B,FT_9A90858AB8873AD2C8CA,dc323875b69ff79a4e68b4183afca275f5c0b90dbcfc9389a97c331b97416d3d,cnt_section_rules_v7,success,,good,9,23256,0,1,0,0,insufficient_experimental_evidence,0,requires_cnt_identity_experimental_section_and_at_least_two_evidence_types,13,69,"[""page_8_two_column_reading_order"", ""page_9_two_column_reading_order""]",data/raw/fulltext/text/LIT_522D359ADEDCFF7B.txt,data/interim/parsed_text/LIT_522D359ADEDCFF7B.txt,2026-07-16T04:06:47Z,2026-07-16T04:06:47Z
LIT_52CCF4ABCC67577A,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:41:06Z,2026-07-16T04:41:06Z
LIT_53B8BE52F01169BD,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:18:38Z,2026-07-16T04:18:38Z
LIT_54330E2C79FE4C21,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:15:34Z,2026-07-16T04:15:34Z
