evidence_id,source_id,run_id,target_table,target_record_id,target_fields,evidence_type,value_status,source_section,source_locator,source_object_ref,evidence_text,evidence_summary,confidence,linked_issue_id,notes
EVID_P004_0011,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,P004_FENIMO,reactor_process_gas,P004_FENIMO_REDUCTION,record_level,record_support,reported,Experimental; Tables 1-7; Figs. 1-8,"p.3, Production process",not_reported,Catalyst reduced by H2 (75 mL/min) at 10 C/min until 1000 C.,reduction; 1000; H2 reduction; Catalyst reduced while heating to 1000 C.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P004_0012,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,P004_FENIMO,reactor_process_gas,P004_FENIMO_GROWTH,record_level,record_support,reported,Experimental; Tables 1-7; Figs. 1-8,"p.6, Evaluation; Fig. 4 caption",Fig. 4,"All catalytic tests reported at 800 C, 1 atm, CH4:CO2=1.5:1, GHSV 48,000 for 3 h.",growth; 800; CH4:CO2=1.5:1; Result section identifies 800 C; method wording around 1000 C feed is internally ambiguous.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P004_0013,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,P004_FENIMO,reactor_process_gas,P004_FENIMO_COOL,record_level,record_support,reported,Experimental; Tables 1-7; Figs. 1-8,"p.3, Production process",not_reported,Biogas switched to He after 3 h.,cooling; He cooling,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P004_0014,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,P004_COFEMO,reactor_process_gas,P004_COFEMO_REDUCTION,record_level,record_support,reported,Experimental; Tables 1-7; Figs. 1-8,"p.3, Production process",not_reported,Catalyst reduced by H2 (75 mL/min) at 10 C/min until 1000 C.,reduction; 1000; H2 reduction; Catalyst reduced while heating to 1000 C.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P004_0015,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,P004_COFEMO,reactor_process_gas,P004_COFEMO_GROWTH,record_level,record_support,reported,Experimental; Tables 1-7; Figs. 1-8,"p.6, Evaluation; Fig. 4 caption",Fig. 4,"All catalytic tests reported at 800 C, 1 atm, CH4:CO2=1.5:1, GHSV 48,000 for 3 h.",growth; 800; CH4:CO2=1.5:1; Result section identifies 800 C; method wording around 1000 C feed is internally ambiguous.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P004_0016,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,P004_COFEMO,reactor_process_gas,P004_COFEMO_COOL,record_level,record_support,reported,Experimental; Tables 1-7; Figs. 1-8,"p.3, Production process",not_reported,Biogas switched to He after 3 h.,cooling; He cooling,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P004_0017,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,P004_NIMO,yield_quality,P004_NIMO_PRODUCT,record_level,record_support,reported,Experimental; Tables 1-7; Figs. 1-8,"pp.8-12, Tables 3 and 5, Figs. 5-8",Tables; Figs.,Yield 2.6 gProduct/gCat-h; TGA carbon fraction 84.0; Raman IG/ID 1.27.,2.6 gProduct/gCat-h; CNT carbon yield 11.8%; MWCNT; dense well-aligned MWCNTs,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P004_0018,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,P004_CONIMO,yield_quality,P004_CONIMO_PRODUCT,record_level,record_support,reported,Experimental; Tables 1-7; Figs. 1-8,"pp.8-12, Tables 3 and 5, Figs. 5-8",Tables; Figs.,Yield 2.27 gProduct/gCat-h; TGA carbon fraction 83.9; Raman IG/ID 1.14.,2.27 gProduct/gCat-h; CNT carbon yield 9.9%; MWCNT; MWCNTs with broader walls/diameters,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P004_0019,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,P004_FENIMO,yield_quality,P004_FENIMO_PRODUCT,record_level,record_support,reported,Experimental; Tables 1-7; Figs. 1-8,"pp.8-12, Tables 3 and 5, Figs. 5-8",Tables; Figs.,Yield 1.13 gProduct/gCat-h; TGA carbon fraction 75.6; Raman IG/ID 1.6.,1.13 gProduct/gCat-h; CNT carbon yield 4.1%; MWCNT; MWCNTs including bamboo-type structures,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P004_0020,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,P004_COFEMO,yield_quality,P004_COFEMO_PRODUCT,record_level,record_support,reported,Experimental; Tables 1-7; Figs. 1-8,"pp.8-12, Tables 3 and 5, Figs. 5-8",Tables; Figs.,Yield 0.28 gProduct/gCat-h; TGA carbon fraction not_reported; Raman IG/ID 1.19.,0.28 gProduct/gCat-h; CNT carbon yield not_detected%; MWCNT-containing sparse product; small amount of MWCNTs; severe oxidation/deactivation,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P004_0021,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,P004_NIMO,cost_scale_review,P004_NIMO,record_level,record_support,reported,Experimental; Tables 1-7; Figs. 1-8,"p.3, Production process",not_reported,0.5 g catalyst in a 26 mm ID fixed-bed quartz reactor; no cost model reported.,laboratory quartz-tube experiment; actual_0.5g_lab_fixed_bed; First-pass reported facts only; no industrial score or recommendation assigned.,medium,not_applicable,migrated_from_v0.3_row_evidence
EVID_P004_0022,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,P004_CONIMO,cost_scale_review,P004_CONIMO,record_level,record_support,reported,Experimental; Tables 1-7; Figs. 1-8,"p.3, Production process",not_reported,0.5 g catalyst in a 26 mm ID fixed-bed quartz reactor; no cost model reported.,laboratory quartz-tube experiment; actual_0.5g_lab_fixed_bed; First-pass reported facts only; no industrial score or recommendation assigned.,medium,not_applicable,migrated_from_v0.3_row_evidence
EVID_P004_0023,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,P004_FENIMO,cost_scale_review,P004_FENIMO,record_level,record_support,reported,Experimental; Tables 1-7; Figs. 1-8,"p.3, Production process",not_reported,0.5 g catalyst in a 26 mm ID fixed-bed quartz reactor; no cost model reported.,laboratory quartz-tube experiment; actual_0.5g_lab_fixed_bed; First-pass reported facts only; no industrial score or recommendation assigned.,medium,not_applicable,migrated_from_v0.3_row_evidence
EVID_P004_0024,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,P004_COFEMO,cost_scale_review,P004_COFEMO,record_level,record_support,reported,Experimental; Tables 1-7; Figs. 1-8,"p.3, Production process",not_reported,0.5 g catalyst in a 26 mm ID fixed-bed quartz reactor; no cost model reported.,laboratory quartz-tube experiment; actual_0.5g_lab_fixed_bed; First-pass reported facts only; no industrial score or recommendation assigned.,medium,not_applicable,migrated_from_v0.3_row_evidence
EVID_P004_0025,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,not_applicable,source_master,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,notes,source_observation,reported,not_separately_reported,p.3 Production process versus p.6/Fig.4,Fig.4,"Once the reactor temperature reached 1000 C, biogas ... was continually fed","Method wording suggests biogas feed at 1000 C, while all results and captions specify 800 C.",high,ISS_P004_001,tags=temperature;internal_inconsistency; Human reviewer should confirm the actual growth temperature; first pass uses 800 C from repeated result evidence.; legacy_observation_id=OBS_P004_001
EVID_P004_0026,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,not_applicable,source_master,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,notes,source_observation,reported,not_separately_reported,pp.6 and 10-11,not_reported,Co and Fe would have undergone oxidation while exposure to CO2,Co- and Fe-containing trimetallic catalysts deactivated through CO2-driven oxidation and agglomeration.,high,not_applicable,tags=CO2_oxidation;deactivation; Explains lower yield and larger CNT diameters.; legacy_observation_id=OBS_P004_002
EVID_P004_0027,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,not_applicable,source_master,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,notes,source_observation,reported,not_separately_reported,"p.11, TGA discussion",not_reported,remaining mass ... unreacted catalysts retained in the sample,"Reported TGA purity is carbon fraction of as-synthesized spent solid, not purified CNT product.",high,ISS_P004_002,tags=TGA;purity; Prevents overstating application-grade purity.; legacy_observation_id=OBS_P004_003
EVID_P004_0028,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,not_applicable,source_master,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,notes,source_observation,reported,not_separately_reported,"p.8, CNT characterization",not_reported,addition of Fe ... forming the bamboo type,Fe addition produced bamboo-type MWCNT morphology.,high,not_applicable,tags=Fe;bamboo_MWCNT; Potential morphology-control signal outside the main methane-only priority.; legacy_observation_id=OBS_P004_004
EVID_P004_0029,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,not_applicable,source_master,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,notes,source_observation,reported,not_separately_reported,p.2 background; p.3 experiment,not_reported,promising alternative for large-scale use,"Authors frame Ni catalysts as large-scale alternatives, but demonstrated only a 0.5 g fixed-bed batch.",high,not_applicable,tags=scale;lab_batch; Separates author positioning from demonstrated scale.; legacy_observation_id=OBS_P004_005
